!`  ¡    \~y   ỹ    \lneq   ≨    \~\"{O}                                     Ṏ
_m  ₘ    \"{h} ḧ    \'{\o}  ǿ    \shortmid                                   ∣
_n  ₙ    \"{i} ï    \={\i}  ī    \spesmilo                                   ₷
_o  ₒ    \"{o} ö    \Alpha  Α    \sqsubset                                   ⊏
_p  ₚ    \"{t} ẗ    \Delta  Δ    \sqsupset                                   ⊐
_r  ᵣ    \"{u} ü    \Gamma  Γ    \subseteq                                   ⊆
_s  ₛ    \"{w} ẅ    \Kappa  Κ    \succnsim                                   ⋩
_t  ₜ    \"{x} ẍ    \Koppa  Ϟ    \supseteq                                   ⊇
_u  ᵤ    \"{y} ÿ    \Lamda  Λ    \textbaht                                   ฿
_v  ᵥ    \'\.S Ṥ    \Omega  Ω    \textdied                                   ✝
_x  ₓ    \'\.s ṥ    \Sampi  Ϡ    \textlira                                   ₤
--- —    \'\AE Ǽ    \Shima  Ϭ    \textpeso                                   ₱
\"' “    \'\ae ǽ    \Sigma  Σ    \thicksim                                   ∼
\"< «    \'{A} Á    \Theta  Θ    \triangle                                   ▵
\"> »    \'{C} Ć    \Vdash  ⊩    \ulcorner                                   ⌜
\"A Ä    \'{E} É    \^{\j}  ĵ    \underbar                                   ▁
\"E Ë    \'{G} Ǵ    \above  ┴    \urcorner                                   ⌝
\"H Ḧ    \'{I} Í    \aleph  ℵ    \varkappa                                   ϰ
\"I Ï    \'{K} Ḱ    \alpha  α    \varprime                                   ′
\"O Ö    \'{L} Ĺ    \amalg  ∐    \varsigma                                   ς
\"U Ü    \'{M} Ḿ    \angle  ∠    \vartheta                                   ϑ
\"W Ẅ    \'{N} Ń    \aoint  ∳    \vphantom                                   ⇳
\"X Ẍ    \'{O} Ó    \asymp  ≍    ^\upsilon                                   ᶷ
\"Y Ÿ    \'{P} Ṕ    \begin  〖   \Downarrow                                  ⇓
\"` „    \'{R} Ŕ    \below  ┬    \Leftarrow                                  ⇐
\"a ä    \'{S} Ś    \cdots  ⋯    \backprime                                  ‵
\"e ë    \'{U} Ú    \close  ┤    \backsimeq                                  ⋍
\"h ḧ    \'{W} Ẃ    \coint  ∲    \bigotimes                                  ⨂
\"i ï    \'{Y} Ý    \colon  ₡    \biohazard                                  ☣
\"o ö    \'{Z} Ź    \dashv  ⊣    \centerdot                                  ·
\"t ẗ    \'{a} á    \dddot  ⃛     \checkmark                                  ✓
\"u ü    \'{c} ć    \ddots  ⋱    \copyright                                  ©
\"w ẅ    \'{e} é    \delta  δ    \dotsquare                                  ⊡
\"x ẍ    \'{g} ǵ    \doteq  ≐    \downarrow                                  ↓
\"y ÿ    \'{i} í    \equiv  ≡    \facsimile                                  ℻
\'A Á    \'{k} ḱ    \frac1  ⅟    \gtrapprox                                  ≳
\'C Ć    \'{l} ĺ    \frown  ⌢    \gtreqless                                  ⋛
\'E É    \'{m} ḿ    \gamma  γ    \gvertneqq                                  ≩
\'G Ǵ    \'{n} ń    \gimel  ℷ    \heartsuit                                  ♥
\'I Í    \'{o} ó    \gneqq  ≩    \lambdabar                                  ƛ
\'K Ḱ    \'{p} ṕ    \gnsim  ⋧    \leftarrow                                  ←
\'L Ĺ    \'{r} ŕ    \iiint  ∭    \lesseqgtr                                  ⋚
\'M Ḿ    \'{s} ś    \imath  ı    \llbracket                                  〚
\'N Ń    \'{u} ú    \infty  ∞    \lvertneqq                                  ≨
\'O Ó    \'{w} ẃ    \jmath  ȷ    \ngeqslant                                  ≱
\'P Ṕ    \'{y} ý    \kappa  κ    \nleqslant                                  ≰
\'R Ŕ    \'{z} ź    \koppa  ϟ    \nparallel                                  ∦
\'S Ś    \.\=A Ǡ    \lamda  λ    \nshortmid                                  ∤
\'U Ú    \.\=O Ȱ    \lceil  ⌈    \nsubseteq                                  ⊈
\'W Ẃ    \.\=a ǡ    \ldata  《   \nsupseteq                                  ⊉
\'Y Ý    \.\=o ȱ    \ldots  …    \octagonal                                  🛑
\'Z Ź    \.{A} Ȧ    \lneqq  ≨    \overbrace                                  ⏞
\'a á    \.{B} Ḃ    \lnsim  ⋦    \overparen                                  ⏜
\'c ć    \.{C} Ċ    \manat  ₼    \paragraph                                  ¶
\'e é    \.{D} Ḋ    \micro  µ    \pitchfork                                  ⋔
\'g ǵ    \.{E} Ė    \minus  −    \rrbracket                                  〛
\'i í    \.{F} Ḟ    \nabla  ∇    \spadesuit                                  ♠
\'k ḱ    \.{G} Ġ    \naira  ₦    \subseteqq                                  ⊆
\'l ĺ    \.{H} Ḣ    \ncong  ≇    \subsetneq                                  ⊊
\'m ḿ    \.{I} İ    \ngeqq  ≱    \supseteqq                                  ⊇
\'n ń    \.{M} Ṁ    \nleqq  ≰    \supsetneq                                  ⊋
\'o ó    \.{N} Ṅ    \nless  ≮    \telephone                                  ℡
\'p ṕ    \.{O} Ȯ    \notin  ∉    \textnaira                                  ₦
\'r ŕ    \.{P} Ṗ    \nprec  ⊀    \therefore                                  ∴
\'s ś    \.{R} Ṙ    \nsucc  ⊁    \triangleq                                  ≜
\'u ú    \.{S} Ṡ    \oiint  ∯    \varpropto                                  ∝
\'w ẃ    \.{T} Ṫ    \omega  ω    ^\Barred B                                  ᴯ
\'y ý    \.{W} Ẇ    \oplus  ⊕    ^\barred o                                  ᶱ
\'z ź    \.{X} Ẋ    \ounce  ℥    ^\script g                                  ᶢ
\.A Ȧ    \.{Y} Ẏ    \pound  £    ^\turned a                                  ᵄ
\.B Ḃ    \.{Z} Ż    \prcue  ≼    ^\turned h                                  ᶣ
\.C Ċ    \.{a} ȧ    \prime  ′    ^\turned i                                  ᵎ
\.D Ḋ    \.{b} ḃ    \ratio  ∶    ^\turned m                                  ᵚ
\.E Ė    \.{c} ċ    \rceil  ⌉    ^\turned r                                  ʴ
\.F Ḟ    \.{d} ḋ    \rdata  》   ^\turned v                                  ᶺ
\.G Ġ    \.{e} ė    \rrect  ▢    ^\turned w                                  ꭩ
\.H Ḣ    \.{f} ḟ    \ruble  ₽    ^\turned y                                  𐞠
\.I İ    \.{g} ġ    \rupee  ₨    \Lleftarrow                                 ⇚
\.M Ṁ    \.{h} ḣ    \sampi  ϡ    \Rightarrow                                 ⇒
\.N Ṅ    \.{m} ṁ    \sharp  ♯    \circledast                                 ⊛
\.O Ȯ    \.{n} ṅ    \shima  ϭ    \complement                                 ∁
\.P Ṗ    \.{o} ȯ    \sigma  σ    \curlywedge                                 ⋏
\.R Ṙ    \.{p} ṗ    \simeq  ≃    \eqslantgtr                                 ⋝
\.S Ṡ    \.{r} ṙ    \smash  ⬍    \gtreqqless                                 ⋛
\.T Ṫ    \.{s} ṡ    \smile  ⌣    \lessapprox                                 ≲
\.W Ẇ    \.{t} ṫ    \sqcap  ⊓    \lesseqqgtr                                 ⋚
\.X Ẋ    \.{w} ẇ    \sqcup  ⊔    \longmapsto                                 ⟼
\.Y Ẏ    \.{x} ẋ    \tenge  ₸    \mathscr{I}                                 ℐ
\.Z Ż    \.{y} ẏ    \theta  θ    \nLeftarrow                                 ⇍
\.a ȧ    \.{z} ż    \times  ×    \nleftarrow                                 ↚
\.b ḃ    \=\"U Ṻ    \uplus  ⊎    \nsubseteqq                                 ⊈
\.c ċ    \=\"u ṻ    \u{\i}  ĭ    \nsupseteqq                                 ⊉
\.d ḋ    \=\'E Ḗ    \vDash  ⊨    \precapprox                                 ≾
\.e ė    \=\'O Ṓ    \varpi  ϖ    \prohibited                                 🛇
\.f ḟ    \=\'e ḗ    \vdash  ⊢    \registered                                 ®
\.g ġ    \=\'o ṓ    \vdots  ⋮    \rightarrow                                 →
\.h ḣ    \=\AE Ǣ    \v{\i}  ǐ    \smallamalg                                 ∐
\.m ṁ    \=\`E Ḕ    \v{\j}  ǰ    \smallsmile                                 ⌣
\.n ṅ    \=\`O Ṑ    \wedge  ∧    \sqsubseteq                                 ⊑
\.o ȯ    \=\`e ḕ    \~{\i}  ĩ    \sqsupseteq                                 ⊒
\.p ṗ    \=\`o ṑ    ^\beta  ᵝ    \subsetneqq                                 ⊊
\.r ṙ    \=\ae ǣ    ^\heng  ꭜ    \succapprox                                 ≿
\.s ṡ    \={A} Ā    ^\iota  ᶥ    \supsetneqq                                 ⊋
\.t ṫ    \={E} Ē    ^\lezh  𐞞    \textlquill                                 ⁅
\.w ẇ    \={G} Ḡ    ^{TEL}  ℡    \textnumero                                 №
\.x ẋ    \={I} Ī    $\cdot$ ·    \textrecipe                                 ℞
\.y ẏ    \={O} Ō    \"\'{I} Ḯ    \textrquill                                 ⁆
\.z ż    \={U} Ū    \"\'{U} Ǘ    \underbrace                                 ⏟
\=A Ā    \={Y} Ȳ    \"\'{i} ḯ    \underparen                                 ⏝
\=E Ē    \={a} ā    \"\'{u} ǘ    \upuparrows                                 ⇈
\=G Ḡ    \={e} ē    \"\={A} Ǟ    \varepsilon                                 ε
\=I Ī    \={g} ḡ    \"\={O} Ȫ    ^\capital b                                 𐞄
\=O Ō    \={i} ī    \"\={U} Ǖ    ^\capital g                                 𐞒
\=U Ū    \={o} ō    \"\={a} ǟ    ^\capital h                                 𐞖
\=Y Ȳ    \={u} ū    \"\={o} ȫ    ^\capital i                                 ᶦ
\=a ā    \={y} ȳ    \"\={u} ǖ    ^\capital l                                 ᶫ
\=e ē    \Beta Β    \"\`{U} Ǜ    ^\capital n                                 ᶰ
\=g ḡ    \Heta Ͱ    \"\`{u} ǜ    ^\capital r                                 𐞪
\=i ī    \Hori Ϩ    \"\v{U} Ǚ    ^\capital u                                 ᶸ
\=o ō    \H{O} Ő    \"\v{u} ǚ    ^\capital y                                 𐞲
\=u ū    \H{U} Ű    \'\.{S} Ṥ    ^\greek phi                                 ᵠ
\=y ȳ    \H{o} ő    \'\.{s} ṥ    ^\rams horn                                 𐞑
\AA Å    \H{u} ű    \'{\AE} Ǽ    ^\turned ae                                 ᵆ
\AE Æ    \Iota Ι    \'{\ae} ǽ    \Rrightarrow                                ⇛
